,open,high,low,close,volume
2018-02-06 07:00:00,0.00069,0.001,0.0003,0.00084344,31918169.0
2018-02-07 07:00:00,0.00084359,0.001098,0.0006455,0.00087521,31775252.0
2018-02-08 07:00:00,0.0008752,0.00096,0.00086506,0.00094698,553192.0
2018-02-09 07:00:00,0.00095,0.001037,0.00083266,0.00084952,7707581.0
2018-02-10 07:00:00,0.00084952,0.00086786,0.00068,0.000715,8909298.0
2018-02-11 07:00:00,0.000715,0.000843,0.000658,0.0007844,8466711.0
2018-02-12 07:00:00,0.00078492,0.0008358,0.000731,0.00075,6691066.0
2018-02-13 07:00:00,0.00075,0.000779,0.00070319,0.00071926,3176553.0
2018-02-14 07:00:00,0.00071923,0.00072845,0.000679,0.000714,3717489.0
2018-02-15 07:00:00,0.00071527,0.000725,0.00063555,0.00072494,3923354.0
2018-02-16 07:00:00,0.00072149,0.000755,0.00067521,0.0007176,2951860.0
2018-02-17 07:00:00,0.00071308,0.00072838,0.00066689,0.00068695,2321405.0
2018-02-18 07:00:00,0.00068693,0.00072,0.000665,0.00069864,2230323.0
2018-02-19 07:00:00,0.00069666,0.00071656,0.00064193,0.000648,1860476.0
2018-02-20 07:00:00,0.00064801,0.00066411,0.00057701,0.00059831,3548718.0
2018-02-21 07:00:00,0.0005983,0.000684,0.00055204,0.00066695,2820059.0
2018-02-22 07:00:00,0.00066696,0.000728,0.00064,0.0006473,5332421.0
2018-02-23 07:00:00,0.00065239,0.000709,0.00062555,0.0006272,2784360.0
2018-02-24 07:00:00,0.0006278,0.0006453,0.00059,0.00060746,1673336.0
2018-02-25 07:00:00,0.0006054,0.00063222,0.00057555,0.00058427,1151186.0
2018-02-26 07:00:00,0.00058626,0.0005951,0.00054478,0.00057063,2438820.0
2018-02-27 07:00:00,0.00057404,0.000755,0.000563,0.00066804,12439878.0
2018-02-28 07:00:00,0.00066974,0.000727,0.0005909,0.00059508,4171086.0
2018-03-01 07:00:00,0.00059508,0.00068001,0.00059508,0.00064053,1997736.0
2018-03-02 07:00:00,0.00063551,0.00064883,0.00060311,0.00062833,1174876.0
2018-03-03 07:00:00,0.00063,0.0006349,0.00055,0.0005963,2438011.0
2018-03-04 07:00:00,0.00059701,0.00061737,0.0005926,0.00059612,811269.0
2018-03-05 07:00:00,0.00059332,0.00060998,0.00058506,0.00059281,935594.0
2018-03-06 07:00:00,0.00059291,0.0006,0.00053513,0.00054883,1780677.0
2018-03-07 07:00:00,0.00054659,0.00058,0.00047,0.0005,3056167.0
2018-03-08 07:00:00,0.00050018,0.00054546,0.00045888,0.00046114,2238924.0
2018-03-09 07:00:00,0.00045881,0.00056546,0.00043118,0.0005398,5013961.0
2018-03-10 07:00:00,0.00054,0.00054411,0.00048301,0.00050255,1769217.0
2018-03-11 07:00:00,0.00050133,0.00054965,0.00047868,0.00053254,1552960.0
2018-03-12 07:00:00,0.00053254,0.000574,0.00050599,0.00053192,1605072.0
2018-03-13 07:00:00,0.00053189,0.00053999,0.0005084,0.00052445,892884.0
2018-03-14 07:00:00,0.00052591,0.00055978,0.00051214,0.00051825,1079701.0
2018-03-15 07:00:00,0.00051822,0.00054725,0.00050747,0.00052033,1737701.0
2018-03-16 07:00:00,0.00052066,0.00055999,0.00051995,0.000547,720479.0
2018-03-17 07:00:00,0.000547,0.00056974,0.00053746,0.00056199,552454.0
2018-03-18 07:00:00,0.00056198,0.00056899,0.00052773,0.00056489,1519713.0
2018-03-19 07:00:00,0.00056202,0.00059,0.000558,0.00058666,1356392.0
2018-03-20 07:00:00,0.00058666,0.000616,0.0005759,0.00060754,1422299.0
2018-03-21 07:00:00,0.00061092,0.000627,0.00057501,0.00062699,2243736.0
2018-03-22 07:00:00,0.00062327,0.00062327,0.00059201,0.00061439,868970.0
2018-03-23 07:00:00,0.000615,0.00061999,0.00056637,0.00060045,1869913.0
2018-03-24 07:00:00,0.00060512,0.0007222,0.00060282,0.00065435,3786303.0
2018-03-25 07:00:00,0.00065859,0.00072,0.000637,0.00066666,2251735.0
2018-03-26 07:00:00,0.00066666,0.00073,0.00064011,0.0006784,1951646.0
